"PlaceInLine","PanicFlag","PanicPanic","LiquidityPanic","PartialShock","PurePanic","NeighborPanicCount","OthersConsumption","tick","ShockedStatus","NeighborPanicProportion"
22,"false","false","false","false","false",0,553846.1548461539,9.0,"false",0.0
97,"false","false","false","false","false",6,1107692.3086923077,9.0,"false",0.6
23,"true","false","true","false","false",0,553846.1548461539,9.0,"true",0.0
50,"false","false","false","false","false",2,553846.1548461539,9.0,"false",0.2
88,"false","false","false","false","false",4,923076.9240769232,9.0,"false",0.4
12,"false","false","false","false","false",0,738461.5394615384,9.0,"false",0.0
86,"false","false","false","false","false",5,923076.9240769232,9.0,"false",0.5
54,"false","false","false","false","false",2,933078.3596245578,9.0,"false",0.2
59,"false","false","false","false","false",1,553846.1548461539,9.0,"false",0.1
58,"true","true","true","false","false",2,1107692.3086923077,9.0,"true",0.2
38,"true","false","true","false","false",0,369230.77023076924,9.0,"true",0.0
76,"true","true","true","false","false",3,738461.5394615384,9.0,"true",0.3
51,"true","true","true","false","false",1,461538.46403846156,9.0,"true",0.25
29,"false","false","false","false","false",0,738461.5394615384,9.0,"false",0.0
66,"false","false","false","false","false",4,923076.9240769232,9.0,"false",0.4
94,"true","true","true","false","false",5,923076.9240769232,9.0,"true",0.5
67,"true","true","true","false","false",4,923076.9240769232,9.0,"true",0.4
6,"false","false","false","false","false",0,553846.1548461539,9.0,"false",0.0
77,"false","false","false","false","false",5,1107692.3086923077,9.0,"false",0.5
82,"false","false","false","false","false",3,738461.5394615384,9.0,"false",0.3
92,"true","true","true","false","false",6,1107692.3086923077,9.0,"true",0.6
52,"true","true","false","true","true",4,1230769.2324358975,9.0,"false",0.6666666666666666
42,"true","true","true","false","false",1,738461.5394615384,9.0,"true",0.1
25,"true","true","true","false","false",1,738461.5394615384,9.0,"true",0.1
8,"false","false","false","false","false",0,1107692.3086923077,9.0,"false",0.0
18,"true","true","true","false","false",1,923076.9240769232,9.0,"true",0.1
17,"false","false","false","false","false",0,1107692.3086923077,9.0,"false",0.0
90,"true","true","true","false","false",8,1488280.9251663205,9.0,"true",0.8
10,"true","false","true","false","false",0,1435897.4370085471,9.0,"true",0.0
24,"false","false","false","false","false",0,923076.9255769232,9.0,"false",0.0
87,"false","false","false","false","false",4,941923.331691349,9.0,"false",0.4
71,"true","true","true","false","false",4,1292307.6933076927,9.0,"true",0.4
61,"false","false","false","false","false",5,923076.9240769232,9.0,"false",0.5
7,"false","false","false","false","false",0,923076.9240769232,9.0,"false",0.0
62,"true","true","true","false","false",2,1538461.5401282054,9.0,"true",0.3333333333333333
15,"true","true","true","false","false",1,1107692.3086923077,9.0,"true",0.1
11,"true","false","true","false","false",0,553846.1548461539,9.0,"true",0.0
34,"true","true","true","false","false",3,738461.5394615384,9.0,"true",0.3
14,"false","false","false","false","false",1,553846.1548461539,9.0,"false",0.1
27,"true","true","true","false","false",2,1292307.6933076927,9.0,"true",0.2
40,"false","false","false","false","false",0,369230.77023076924,9.0,"false",0.0
28,"false","false","false","false","false",1,738461.5394615384,9.0,"false",0.1
93,"false","false","false","false","false",3,563847.5903937885,9.0,"false",0.3
30,"true","true","true","false","false",2,738461.5394615384,9.0,"true",0.2
31,"true","false","true","false","false",0,923076.9240769232,9.0,"true",0.0
57,"true","true","true","false","false",1,553846.1548461539,9.0,"true",0.1
68,"false","false","false","false","false",2,738461.5394615384,9.0,"false",0.2
73,"true","true","true","false","false",3,553846.1548461539,9.0,"true",0.3
98,"true","true","true","false","false",9,1661538.4625384621,9.0,"true",0.9
47,"true","false","true","false","false",0,615384.6187179487,9.0,"true",0.0
72,"true","false","true","true","true",5,1476923.0779230774,9.0,"false",0.5
69,"false","false","false","false","false",1,553846.1548461539,9.0,"false",0.1
5,"false","false","false","false","false",0,923076.9240769232,9.0,"false",0.0
99,"false","false","false","false","false",4,738461.5394615384,9.0,"false",0.4
96,"true","true","true","false","false",7,1292307.6933076927,9.0,"true",0.7
100,"true","true","true","false","false",6,1107692.3086923077,9.0,"true",0.6
80,"true","true","true","false","false",4,738461.5394615384,9.0,"true",0.4
63,"true","true","true","false","false",2,1107692.3086923077,9.0,"true",0.2
39,"false","false","false","false","false",2,738461.5394615384,9.0,"false",0.2
32,"true","true","true","false","false",2,1107692.3086923077,9.0,"true",0.2
13,"false","false","false","false","false",0,923076.9240769232,9.0,"false",0.0
95,"false","false","false","false","false",3,738461.5394615384,9.0,"false",0.3
41,"true","false","true","true","true",1,1318681.3201098903,9.0,"false",0.14285714285714285
84,"true","true","true","false","false",4,923076.9240769232,9.0,"true",0.4
64,"true","true","true","false","false",4,1107692.3086923077,9.0,"true",0.4
65,"false","false","false","false","false",4,1107692.3086923077,9.0,"false",0.4
9,"true","false","true","false","false",0,1107692.3086923077,9.0,"true",0.0
3,"false","false","false","false","false",0,553846.1548461539,9.0,"false",0.0
4,"false","false","false","false","false",0,923076.9280769231,9.0,"false",0.0
1,"false","false","false","false","false",0,923076.9240769232,9.0,"false",0.0
2,"false","false","false","false","false",0,738461.5394615384,9.0,"false",0.0
83,"false","false","false","false","false",4,748462.975009173,9.0,"false",0.4
53,"true","true","true","false","false",1,923076.9240769232,9.0,"true",0.1
44,"false","false","false","false","false",2,559250.862409674,9.0,"false",0.2
78,"false","false","false","false","false",4,923076.9240769232,9.0,"false",0.4
43,"true","true","true","false","false",1,738461.5394615384,9.0,"true",0.1
70,"false","false","false","false","false",3,748462.975009173,9.0,"false",0.3
48,"true","true","true","false","false",3,928481.6316404432,9.0,"true",0.3
35,"false","false","false","false","false",2,1107692.3086923077,9.0,"false",0.2
91,"true","true","true","false","false",5,923076.9240769232,9.0,"true",0.5
74,"true","true","true","false","false",5,923076.9240769232,9.0,"true",0.5
85,"false","false","false","false","false",4,923076.9240769232,9.0,"false",0.4
20,"true","false","true","false","false",0,738461.5394615384,9.0,"true",0.0
81,"false","false","false","false","false",3,553846.1548461539,9.0,"false",0.3
26,"true","false","true","false","false",0,738461.5394615384,9.0,"true",0.0
60,"true","true","true","false","false",3,923076.9240769232,9.0,"true",0.3
37,"false","false","false","false","false",0,369230.77023076924,9.0,"false",0.0
45,"true","false","true","true","true",2,1292307.6933076927,9.0,"false",0.2
16,"true","false","true","false","false",0,923076.9240769232,9.0,"true",0.0
21,"false","false","false","false","false",3,923076.9240769232,9.0,"false",0.3
56,"false","false","false","false","false",3,923076.9240769232,9.0,"false",0.3
49,"false","false","false","false","false",1,553846.1548461539,9.0,"false",0.1
19,"true","true","true","false","false",2,923076.9240769232,9.0,"true",0.2
33,"false","false","false","false","false",2,923076.9240769232,9.0,"false",0.2
79,"false","false","false","false","false",4,923076.9240769232,9.0,"false",0.4
55,"false","false","false","false","false",5,1107692.3086923077,9.0,"false",0.5
46,"true","true","true","false","false",1,559250.862409674,9.0,"true",0.1
89,"true","true","true","false","false",5,1297712.4008712126,9.0,"true",0.5
36,"true","true","true","false","false",3,738461.5394615384,9.0,"true",0.3
75,"false","false","false","false","false",3,1119050.155935551,9.0,"false",0.3
45,"true","true","true","false","false",7,1011121.6518598738,21.0,"true",0.7
16,"false","false","false","false","false",1,603052.7582331062,21.0,"false",0.1
21,"true","true","true","false","false",4,865710.3724420583,21.0,"true",0.4
13,"true","true","true","false","false",1,524696.5797759894,21.0,"true",0.14285714285714285
11,"true","false","true","true","true",1,854209.6379963652,21.0,"false",0.1
30,"true","false","true","true","true",4,713738.1372527517,21.0,"false",0.4
8,"true","false","true","true","true",1,846935.1411902368,21.0,"false",0.1
37,"true","true","true","false","false",4,1114255.2591479467,21.0,"true",0.4
33,"false","false","false","false","false",2,697951.924890807,21.0,"false",0.2857142857142857
28,"true","true","true","false","false",5,846765.6668024876,21.0,"true",0.5
18,"true","true","true","true","true",2,736682.5476990569,21.0,"true",0.2
50,"true","true","true","false","false",9,1125441.7569683332,21.0,"true",0.9
9,"false","false","false","false","false",3,706326.2612543931,21.0,"false",0.3
26,"true","false","true","true","true",1,1228944.1417839045,21.0,"false",0.5
25,"true","true","true","false","false",5,1117007.4581824418,21.0,"true",0.5
54,"true","true","true","false","false",7,879589.0489197861,21.0,"true",0.7
32,"true","false","true","false","false",0,22279.29431538678,21.0,"true",1.0E-5
23,"true","false","true","true","true",3,986600.7049325202,21.0,"false",0.3
10,"true","true","true","false","false",1,488194.2204905488,21.0,"true",0.1
14,"true","true","true","false","false",2,503169.4704889868,21.0,"true",0.2
3,"true","false","true","false","false",0,467925.3107074566,21.0,"true",0.0
7,"false","false","false","false","false",2,847536.4604833975,21.0,"false",0.2
48,"false","false","false","false","false",3,697951.924890807,21.0,"false",0.42857142857142855
46,"true","true","true","true","true",9,1125832.3734829915,21.0,"false",0.9
29,"false","false","false","false","false",2,734909.9036371334,21.0,"false",0.4
15,"true","false","true","true","true",1,610844.9037902915,21.0,"false",0.1
39,"true","true","true","false","false",5,998123.5188750752,21.0,"true",0.5
19,"false","false","false","false","false",2,622560.4429618927,21.0,"false",0.2
35,"false","false","false","false","false",3,764025.8129128675,21.0,"false",0.375
17,"true","true","true","false","false",4,977042.5759382672,21.0,"true",0.4
44,"true","true","true","false","false",7,990098.1722249279,21.0,"true",0.7
36,"true","true","true","true","true",7,1204178.6371260353,21.0,"false",0.7
4,"true","true","true","false","false",1,719173.1710090372,21.0,"true",0.1
41,"true","true","true","false","false",6,866485.4263901752,21.0,"true",0.6
24,"true","false","true","true","true",5,994961.2186044691,21.0,"false",0.5
1,"true","false","true","false","false",0,0.0054,21.0,"true",0.0
43,"true","true","true","true","true",7,1124764.4987188955,21.0,"false",0.7
27,"true","false","true","true","true",6,1002714.2674307985,21.0,"false",0.6
53,"true","true","true","true","true",9,1135526.8526597428,21.0,"false",0.9
5,"false","false","false","false","false",0,366389.7457984796,21.0,"false",0.0
52,"true","true","true","false","false",3,520473.4636019847,21.0,"true",0.42857142857142855
47,"true","true","true","false","false",8,995373.9550652896,21.0,"true",0.8
51,"true","true","true","true","true",9,1078211.4302406977,21.0,"false",0.9
34,"true","true","true","false","false",2,546355.7009785767,21.0,"true",0.2222222222222222
12,"true","false","true","false","false",0,733391.0881130821,21.0,"true",0.0
22,"true","false","true","true","true",4,877325.4860196455,21.0,"false",0.4
2,"true","false","true","true","true",0,611496.9518775688,21.0,"false",0.0
38,"false","false","false","false","false",5,738105.9774182874,21.0,"false",0.5
20,"true","true","true","false","false",4,701482.3934182753,21.0,"true",0.4
40,"true","true","true","false","false",4,1247836.4129495975,21.0,"true",0.8
49,"true","true","true","false","false",9,1242318.4883536736,21.0,"true",0.9
31,"true","true","true","false","false",5,712359.0249714539,21.0,"true",0.5
42,"true","true","true","false","false",7,1104108.0660182985,21.0,"true",0.7
6,"true","false","true","false","false",0,608356.9741202049,21.0,"true",0.0
22,"false","false","false","false","false",5,260012.2036001772,33.0,"false",0.5
25,"true","true","true","false","false",7,410153.4282586222,33.0,"true",0.7
21,"true","true","true","false","false",1,132014.565970788,33.0,"true",0.2
12,"true","true","true","false","false",4,259748.4810635557,33.0,"true",0.4
2,"true","false","true","false","false",0,8.666666666666667E-4,33.0,"true",0.0
10,"true","true","true","true","true",4,384819.3277822665,33.0,"false",0.4
9,"true","true","true","false","false",2,229185.56756007456,33.0,"true",0.2
20,"false","false","false","false","false",0,1.0E-4,33.0,"false",1.0E-5
17,"false","false","false","false","false",0,109912.49052362636,33.0,"false",0.0
26,"false","false","false","false","false",6,325356.26550624403,33.0,"false",0.6
13,"false","false","false","false","false",1,174874.3283774599,33.0,"false",0.25
7,"true","true","true","false","false",2,453847.8012497088,33.0,"true",0.2
8,"false","false","false","false","false",0,0.0026000000000000003,33.0,"false",0.0
14,"false","false","false","false","false",0,274781.2263090659,33.0,"false",0.0
11,"false","false","false","false","false",5,320529.59260257316,33.0,"false",0.5
5,"false","false","false","false","false",1,249811.95270559427,33.0,"false",0.2
16,"false","false","false","false","false",3,340861.2322545583,33.0,"false",0.3
4,"false","false","false","false","false",0,387949.3241623322,33.0,"false",0.0
23,"true","true","true","false","false",5,336627.24431316764,33.0,"true",0.5
6,"true","false","true","true","true",0,451158.9414811179,33.0,"false",0.0
19,"true","true","true","false","false",4,301634.5810388467,33.0,"true",0.4
15,"false","false","false","false","false",2,272733.2272545588,33.0,"false",0.2857142857142857
24,"false","false","false","false","false",6,380362.7569167842,33.0,"false",0.6
1,"false","false","false","false","false",0,314355.4741913902,33.0,"false",0.0
3,"true","false","true","false","false",0,193019.20258524554,33.0,"true",0.0
18,"true","true","true","false","false",5,323814.5058812431,33.0,"true",0.5
1,"false","false","false","false","false",0,215989.3861622854,45.0,"false",0.0
8,"true","true","true","true","true",2,215989.3861622854,45.0,"false",0.25
3,"true","false","true","true","true",0,23743.23879118843,45.0,"true",1.0E-5
14,"true","true","true","true","true",3,474738.1941589927,45.0,"true",0.75
15,"true","true","true","true","true",4,174624.82224588568,45.0,"true",0.5
6,"true","false","true","true","true",0,411608.23461132246,45.0,"false",0.0
10,"true","true","true","true","true",1,450237.0436012274,45.0,"false",1.0
16,"true","true","true","false","false",1,443990.60433990334,45.0,"true",1.0
7,"false","false","false","false","false",3,242016.9034777234,45.0,"false",0.3333333333333333
11,"true","true","true","true","true",2,446153.3072776255,45.0,"true",0.6666666666666666
9,"false","false","false","false","false",3,227898.97923386842,45.0,"false",0.375
2,"true","false","true","false","false",0,159439.91436418053,45.0,"true",0.0
5,"true","true","true","false","false",1,161330.5103521651,45.0,"true",0.125
4,"true","false","true","false","false",0,205804.11730566123,45.0,"true",0.0
12,"false","false","false","false","false",3,227898.97923386842,45.0,"false",0.375
13,"true","true","true","false","false",3,176392.09786779102,45.0,"true",0.375
5,"true","false","true","true","true",1,123244.94311894765,57.0,"true",0.1111111111111111
6,"true","true","true","false","false",2,173843.55210102248,57.0,"true",0.2222222222222222
3,"true","false","true","false","false",0,2830.1742521690057,57.0,"true",1.0E-5
4,"true","false","true","false","false",0,154935.8509973583,57.0,"true",0.0
7,"true","true","true","true","true",3,181121.63675587878,57.0,"false",0.3333333333333333
1,"false","false","false","false","false",0,158873.90445733833,57.0,"false",0.0
11,"true","true","true","true","true",7,189541.0996372542,57.0,"true",0.7777777777777778
2,"false","false","false","false","false",0,158873.90445733833,57.0,"false",0.0
10,"true","true","true","false","false",6,214023.0789966439,57.0,"true",0.6666666666666666
9,"true","true","true","true","true",5,175960.2199197698,57.0,"true",0.5555555555555556
8,"true","true","true","true","true",4,160742.95304662854,57.0,"true",0.4444444444444444
2,"false","false","false","false","false",1,62280.664379297734,69.0,"false",0.16666666666666666
6,"true","true","true","true","true",3,78305.67538565269,69.0,"false",0.5
7,"true","true","true","true","true",4,53736.25076209212,69.0,"true",0.6666666666666666
5,"true","true","true","false","false",2,70649.59104330077,69.0,"true",0.3333333333333333
4,"false","false","false","false","false",2,78305.67538565269,69.0,"false",0.3333333333333333
3,"true","false","true","true","true",1,62280.664379297734,69.0,"false",0.16666666666666666
1,"true","false","true","false","false",0,44978.32628256854,69.0,"true",0.0
5,"true","true","false","true","true",3,37482.54917176074,81.0,"false",0.75
4,"true","true","true","true","true",2,21729.972653725345,81.0,"false",0.5
2,"true","false","true","true","true",0,17169.65477466603,81.0,"false",0.0
1,"false","false","false","false","false",0,17169.65477466603,81.0,"false",0.0
3,"true","true","true","false","false",1,4560.318004059311,81.0,"true",0.25
3,"false","false","false","false","false",1,4864.339204329933,93.0,"false",0.3333333333333333
4,"true","true","false","true","true",1,4864.339204329933,93.0,"false",0.3333333333333333
2,"true","false","true","false","false",0,1.3333333333333334E-4,93.0,"true",0.0
1,"false","false","false","false","false",0,4864.339204329933,93.0,"false",0.0
3,"true","true","true","true","true",1,59914.62637277214,105.0,"true",0.5
1,"true","false","true","false","false",0,86694.90843023872,105.0,"true",0.0
2,"false","false","false","true","false",1,69847.44066281334,105.0,"true",0.5
1,"true","false","true","true","true",0,57259.27372812213,117.0,"false",0.0
2,"true","true","false","true","true",1,7512.328684751135,117.0,"true",1.0
2,"true","false","true","true","true",0,2.0E-4,129.0,"false",0.0
1,"false","false","false","false","false",0,2.0E-4,129.0,"false",0.0
2,"true","false","true","false","false",0,2.0E-4,141.0,"true",0.0
1,"false","false","false","false","false",0,13026.84292126171,141.0,"false",0.0
